tensor(5.9943, device='cuda:1', grad_fn=<MulBackward0>)
tensor(13.7946, device='cuda:1', grad_fn=<MulBackward0>)
tensor(18.2722, device='cuda:1', grad_fn=<MulBackward0>)
tensor(17.2811, device='cuda:1', grad_fn=<MulBackward0>)
tensor(16.4561, device='cuda:1', grad_fn=<MulBackward0>)
tensor(17.1197, device='cuda:1', grad_fn=<MulBackward0>)
tensor(19.0087, device='cuda:1', grad_fn=<MulBackward0>)
tensor(18.1955, device='cuda:1', grad_fn=<MulBackward0>)
tensor(19.8960, device='cuda:1', grad_fn=<MulBackward0>)
tensor(17.4148, device='cuda:1', grad_fn=<MulBackward0>)
tensor(18.4030, device='cuda:1', grad_fn=<MulBackward0>)
tensor(18.2073, device='cuda:1', grad_fn=<MulBackward0>)
tensor(17.2070, device='cuda:1', grad_fn=<MulBackward0>)
tensor(18.6746, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.7628, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.2613, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.1665, device='cuda:1', grad_fn=<MulBackward0>)
tensor(18.9353, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.6619, device='cuda:1', grad_fn=<MulBackward0>)
tensor(19.6656, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.8732, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.1064, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.0670, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.1468, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.1174, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.6567, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.1094, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.2699, device='cuda:1', grad_fn=<MulBackward0>)
tensor(22.3986, device='cuda:1', grad_fn=<MulBackward0>)
tensor(21.1803, device='cuda:1', grad_fn=<MulBackward0>)
tensor(20.9132, device='cuda:1', grad_fn=<MulBackward0>)
