tensor(5.6966, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.7887, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4629, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.3619, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.0542, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.7862, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.9803, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.4202, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.2068, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.5453, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.6201, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5296, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.1825, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.5192, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.0225, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.3820, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.8770, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.9349, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5432, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.0015, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9734, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.3677, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.6928, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.6435, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.8659, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.0405, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4651, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5434, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.5562, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4403, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.6115, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.0460, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.3018, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.5422, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.5653, device='cuda:0', grad_fn=<MulBackward0>)
