tensor(5.8822, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4903, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8901, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.7557, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4971, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.1001, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.8157, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.0422, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6119, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.8361, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.4877, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4164, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.1858, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.3784, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.6568, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.4048, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.7029, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.7969, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9874, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.5690, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.2122, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.8964, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.8220, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.0228, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6761, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.8580, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.8239, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.8569, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.1779, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.2261, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.4656, device='cuda:0', grad_fn=<MulBackward0>)
tensor(22.2245, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.7745, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.4832, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.1444, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.4999, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.9953, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.1717, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.2431, device='cuda:0', grad_fn=<MulBackward0>)
tensor(20.2546, device='cuda:0', grad_fn=<MulBackward0>)
tensor(19.1952, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.3825, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.2410, device='cuda:0', grad_fn=<MulBackward0>)
tensor(21.5013, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.1004, device='cuda:0', grad_fn=<MulBackward0>)
